subject_race,subject_sex,outcome,year,month,count
asian,male,citation,2014,4,6
asian,male,citation,2014,5,9
asian,male,citation,2014,6,11
asian,male,citation,2014,7,22
asian,male,citation,2014,8,54
asian,male,citation,2014,9,27
asian,male,citation,2014,10,12
asian,male,citation,2014,11,8
asian,male,citation,2014,12,16
asian,male,citation,2015,1,10
asian,male,citation,2015,2,8
asian,male,citation,2015,3,20
asian,male,citation,2015,4,22
asian,male,citation,2015,5,16
asian,male,citation,2015,6,10
asian,male,citation,2015,7,18
asian,male,citation,2015,8,27
asian,male,citation,2015,9,43
asian,male,citation,2015,10,24
asian,male,citation,2015,11,12
asian,male,citation,2015,12,10
asian,male,citation,2016,1,16
asian,male,citation,2016,2,8
asian,male,citation,2016,3,9
asian,male,citation,2016,4,8
asian,male,citation,2016,5,6
asian,male,citation,2016,6,3
asian,male,citation,2016,7,6
asian,male,citation,2016,8,15
asian,male,citation,2016,9,13
asian,male,citation,2016,10,5
asian,male,citation,2016,11,7
asian,male,citation,2016,12,8
asian,male,citation,2017,1,10
asian,male,citation,2017,2,2
asian,male,citation,2017,3,9
asian,male,citation,2017,4,7
asian,male,citation,2017,5,4
asian,male,citation,2017,6,3
asian,male,citation,2017,7,9
asian,male,citation,2017,8,14
asian,male,citation,2017,9,7
asian,male,citation,2017,10,3
asian,male,citation,2017,11,6
asian,male,citation,2017,12,3
asian,male,citation,2018,1,4
asian,male,citation,2018,2,6
asian,male,citation,2018,3,13
asian,male,citation,2018,4,6
asian,male,citation,2018,5,7
asian,male,citation,2018,6,14
asian,male,citation,2018,7,4
asian,male,warning,2011,4,2
asian,male,warning,2011,5,8
asian,male,warning,2011,6,4
asian,male,warning,2011,7,5
asian,male,warning,2011,8,14
asian,male,warning,2011,9,12
asian,male,warning,2011,10,11
asian,male,warning,2011,11,10
asian,male,warning,2011,12,8
asian,male,warning,2012,1,8
asian,male,warning,2012,2,10
asian,male,warning,2012,3,18
asian,male,warning,2012,4,11
asian,male,warning,2012,5,10
asian,male,warning,2012,6,17
asian,male,warning,2012,7,4
asian,male,warning,2012,8,9
asian,male,warning,2012,9,3
asian,male,warning,2012,10,5
asian,male,warning,2012,11,3
asian,male,warning,2012,12,1
asian,male,warning,2013,1,6
asian,male,warning,2013,3,2
asian,male,warning,2013,4,1
asian,male,warning,2013,5,2
asian,male,warning,2013,6,1
asian,male,warning,2013,7,5
asian,male,warning,2013,8,5
asian,male,warning,2013,9,4
asian,male,warning,2013,10,5
asian,male,warning,2013,11,4
asian,male,warning,2013,12,3
asian,male,warning,2014,1,5
asian,male,warning,2014,2,4
asian,male,warning,2014,3,3
asian,male,warning,2014,4,8
asian,male,warning,2014,5,8
asian,male,warning,2014,6,5
asian,male,warning,2014,7,7
asian,male,warning,2014,8,6
asian,male,warning,2014,9,8
asian,male,warning,2014,10,15
asian,male,warning,2014,11,2
asian,male,warning,2014,12,6
asian,male,warning,2015,1,16
asian,male,warning,2015,2,10
asian,male,warning,2015,3,12
asian,male,warning,2015,4,10
asian,male,warning,2015,5,4
asian,male,warning,2015,6,10
asian,male,warning,2015,7,16
asian,male,warning,2015,8,12
asian,male,warning,2015,9,13
asian,male,warning,2015,10,15
asian,male,warning,2015,11,5
asian,male,warning,2015,12,13
asian,male,warning,2016,1,12
asian,male,warning,2016,2,10
asian,male,warning,2016,3,7
asian,male,warning,2016,4,8
asian,male,warning,2016,5,7
asian,male,warning,2016,6,4
asian,male,warning,2016,7,10
asian,male,warning,2016,8,7
asian,male,warning,2016,9,16
asian,male,warning,2016,10,3
asian,male,warning,2016,11,10
asian,male,warning,2016,12,12
asian,male,warning,2017,1,8
asian,male,warning,2017,2,7
asian,male,warning,2017,3,13
asian,male,warning,2017,4,10
asian,male,warning,2017,5,3
asian,male,warning,2017,6,14
asian,male,warning,2017,7,10
asian,male,warning,2017,8,9
asian,male,warning,2017,9,15
asian,male,warning,2017,10,10
asian,male,warning,2017,11,14
asian,male,warning,2017,12,11
asian,male,warning,2018,1,13
asian,male,warning,2018,2,6
asian,male,warning,2018,3,2
asian,male,warning,2018,4,16
asian,male,warning,2018,5,11
asian,male,warning,2018,6,8
asian,male,warning,2018,7,4
black,female,arrest,2011,2,2
black,female,arrest,2011,5,107
black,female,arrest,2011,6,130
black,female,arrest,2011,7,145
black,female,arrest,2011,8,183
black,female,arrest,2011,9,168
black,female,arrest,2011,10,175
black,female,arrest,2011,11,141
black,female,arrest,2011,12,147
black,female,arrest,2012,1,106
black,female,arrest,2012,2,186
black,female,arrest,2012,3,233
black,female,arrest,2012,4,215
black,female,arrest,2012,5,215
black,female,arrest,2012,6,251
black,female,arrest,2012,7,184
black,female,arrest,2012,8,136
black,female,arrest,2012,9,118
black,female,arrest,2012,10,132
black,female,arrest,2012,11,135
black,female,arrest,2012,12,165
black,female,arrest,2013,1,172
black,female,arrest,2013,2,128
black,female,arrest,2013,3,192
black,female,arrest,2013,4,162
black,female,arrest,2013,5,127
black,female,arrest,2013,6,235
black,female,arrest,2013,7,274
black,female,arrest,2013,8,228
black,female,arrest,2013,9,199
black,female,arrest,2013,10,217
black,female,arrest,2013,11,190
black,female,arrest,2013,12,167
black,female,arrest,2014,1,178
black,female,arrest,2014,2,184
black,female,arrest,2014,3,140
black,female,arrest,2014,4,217
black,female,arrest,2014,5,204
black,female,arrest,2014,6,236
black,female,arrest,2014,7,217
black,female,arrest,2014,8,238
black,female,arrest,2014,9,237
black,female,arrest,2014,10,258
black,female,arrest,2014,11,217
black,female,arrest,2014,12,202
black,female,arrest,2015,1,254
black,female,arrest,2015,2,203
black,female,arrest,2015,3,286
black,female,arrest,2015,4,222
black,female,arrest,2015,5,262
black,female,arrest,2015,6,288
black,female,arrest,2015,7,300
black,female,arrest,2015,8,271
black,female,arrest,2015,9,263
black,female,arrest,2015,10,295
black,female,arrest,2015,11,212
black,female,arrest,2015,12,196
black,female,arrest,2016,1,215
black,female,arrest,2016,2,213
black,female,arrest,2016,3,246
black,female,arrest,2016,4,199
black,female,arrest,2016,5,228
black,female,arrest,2016,6,177
black,female,arrest,2016,7,149
black,female,arrest,2016,8,176
black,female,arrest,2016,9,228
black,female,arrest,2016,10,188
black,female,arrest,2016,11,174
black,female,arrest,2016,12,179
black,female,arrest,2017,1,242
black,female,arrest,2017,2,173
black,female,arrest,2017,3,258
black,female,arrest,2017,4,231
black,female,arrest,2017,5,220
black,female,arrest,2017,6,227
black,female,arrest,2017,7,272
black,female,arrest,2017,8,296
black,female,arrest,2017,9,296
black,female,arrest,2017,10,251
black,female,arrest,2017,11,210
black,female,arrest,2017,12,242
black,female,arrest,2018,1,255
black,female,arrest,2018,2,229
black,female,arrest,2018,3,163
black,female,arrest,2018,4,179
black,female,arrest,2018,5,183
black,female,arrest,2018,6,136
black,female,arrest,2018,7,92
black,female,citation,2011,2,1
black,female,citation,2011,5,221
black,female,citation,2011,6,287
black,female,citation,2011,7,296
black,female,citation,2011,8,434
black,female,citation,2011,9,315
black,female,citation,2011,10,292
black,female,citation,2011,11,362
black,female,citation,2011,12,369
black,female,citation,2012,1,306
black,female,citation,2012,2,389
black,female,citation,2012,3,533
black,female,citation,2012,4,428
black,female,citation,2012,5,470
black,female,citation,2012,6,423
black,female,citation,2012,7,459
black,female,citation,2012,8,242
black,female,citation,2012,9,183
black,female,citation,2012,10,163
black,female,citation,2012,11,185
black,female,citation,2012,12,213
black,female,citation,2013,1,177
black,female,citation,2013,2,135
black,female,citation,2013,3,206
black,female,citation,2013,4,212
black,female,citation,2013,5,223
black,female,citation,2013,6,245
black,female,citation,2013,7,283
black,female,citation,2013,8,309
black,female,citation,2013,9,255
black,female,citation,2013,10,294
black,female,citation,2013,11,452
black,female,citation,2013,12,321
black,female,citation,2014,1,203
black,female,citation,2014,2,233
black,female,citation,2014,3,253
black,female,citation,2014,4,237
black,female,citation,2014,5,295
black,female,citation,2014,6,306
black,female,citation,2014,7,303
black,female,citation,2014,8,637
black,female,citation,2014,9,503
black,female,citation,2014,10,349
black,female,citation,2014,11,315
black,female,citation,2014,12,316
black,female,citation,2015,1,345
black,female,citation,2015,2,272
black,female,citation,2015,3,448
black,female,citation,2015,4,472
black,female,citation,2015,5,388
black,female,citation,2015,6,415
black,female,citation,2015,7,526
black,female,citation,2015,8,620
black,female,citation,2015,9,656
black,female,citation,2015,10,573
black,female,citation,2015,11,307
black,female,citation,2015,12,223
black,female,citation,2016,1,321
black,female,citation,2016,2,266
black,female,citation,2016,3,287
black,female,citation,2016,4,266
black,female,citation,2016,5,303
black,female,citation,2016,6,298
black,female,citation,2016,7,259
black,female,citation,2016,8,302
black,female,citation,2016,9,327
black,female,citation,2016,10,161
black,female,citation,2016,11,147
black,female,citation,2016,12,200
black,female,citation,2017,1,383
black,female,citation,2017,2,274
black,female,citation,2017,3,310
black,female,citation,2017,4,258
black,female,citation,2017,5,277
black,female,citation,2017,6,246
black,female,citation,2017,7,451
black,female,citation,2017,8,435
black,female,citation,2017,9,310
black,female,citation,2017,10,235
black,female,citation,2017,11,173
black,female,citation,2017,12,192
black,female,citation,2018,1,259
black,female,citation,2018,2,189
black,female,citation,2018,3,313
black,female,citation,2018,4,276
black,female,citation,2018,5,390
black,female,citation,2018,6,479
black,female,citation,2018,7,195
black,female,warning,2011,5,275
black,female,warning,2011,6,288
black,female,warning,2011,7,319
black,female,warning,2011,8,396
black,female,warning,2011,9,334
black,female,warning,2011,10,326
black,female,warning,2011,11,350
black,female,warning,2011,12,370
black,female,warning,2012,1,330
black,female,warning,2012,2,403
black,female,warning,2012,3,458
black,female,warning,2012,4,347
black,female,warning,2012,5,312
black,female,warning,2012,6,340
black,female,warning,2012,7,252
black,female,warning,2012,8,187
black,female,warning,2012,9,151
black,female,warning,2012,10,159
black,female,warning,2012,11,102
black,female,warning,2012,12,126
black,female,warning,2013,1,109
black,female,warning,2013,2,82
black,female,warning,2013,3,130
black,female,warning,2013,4,122
black,female,warning,2013,5,113
black,female,warning,2013,6,117
black,female,warning,2013,7,157
black,female,warning,2013,8,134
black,female,warning,2013,9,150
black,female,warning,2013,10,139
black,female,warning,2013,11,168
black,female,warning,2013,12,148
black,female,warning,2014,1,165
black,female,warning,2014,2,119
black,female,warning,2014,3,84
black,female,warning,2014,4,161
black,female,warning,2014,5,182
black,female,warning,2014,6,266
black,female,warning,2014,7,262
black,female,warning,2014,8,374
black,female,warning,2014,9,362
black,female,warning,2014,10,475
black,female,warning,2014,11,449
black,female,warning,2014,12,407
black,female,warning,2015,1,513
black,female,warning,2015,2,351
black,female,warning,2015,3,429
black,female,warning,2015,4,464
black,female,warning,2015,5,423
black,female,warning,2015,6,455
black,female,warning,2015,7,474
black,female,warning,2015,8,505
black,female,warning,2015,9,514
black,female,warning,2015,10,464
black,female,warning,2015,11,423
