subject_race,subject_sex,outcome,year,month,reason_for_stop,count
asian,female,citation,2017,5,TRAFFIC VI,3
asian,female,citation,2017,6,TRAFFIC VI,1
asian,female,citation,2017,7,TRAFFIC VI,6
asian,female,citation,2017,8,TRAFFIC VI,4
asian,female,citation,2017,9,TRAFFIC VI,2
asian,female,citation,2017,10,TRAFFIC VI,4
asian,female,citation,2017,11,TRAFFIC VI,1
asian,female,citation,2017,12,TRAFFIC VI,5
asian,female,citation,2018,1,TRAFFIC VI,1
asian,female,citation,2018,2,TRAFFIC VI,2
asian,female,citation,2018,3,TRAFFIC VI,3
asian,female,citation,2018,4,TRAFFIC VI,2
asian,female,citation,2018,5,TRAFFIC VI,3
asian,female,citation,2018,6,TRAFFIC VI,2
asian,female,citation,2018,7,TRAFFIC VI,3
asian,female,warning,2011,5,TRAFFIC VI,5
asian,female,warning,2011,6,TRAFFIC VI,7
asian,female,warning,2011,7,SUSPECT VE,1
asian,female,warning,2011,7,TRAFFIC VI,5
asian,female,warning,2011,8,TRAFFIC VI,2
asian,female,warning,2011,9,TRAFFIC VI,4
asian,female,warning,2011,10,TRAFFIC VI,6
asian,female,warning,2011,11,TRAFFIC VI,7
asian,female,warning,2011,12,TRAFFIC VI,3
asian,female,warning,2012,1,TRAFFIC VI,3
asian,female,warning,2012,2,TRAFFIC VI,4
asian,female,warning,2012,3,CALL FOR S,1
asian,female,warning,2012,3,TRAFFIC VI,5
asian,female,warning,2012,4,TRAFFIC VI,7
asian,female,warning,2012,5,TRAFFIC VI,3
asian,female,warning,2012,6,TRAFFIC VI,6
asian,female,warning,2012,7,TRAFFIC VI,4
asian,female,warning,2012,8,TRAFFIC VI,1
asian,female,warning,2012,9,TRAFFIC VI,1
asian,female,warning,2012,10,TRAFFIC VI,8
asian,female,warning,2012,11,OTHER,1
asian,female,warning,2012,11,TRAFFIC VI,1
asian,female,warning,2013,1,TRAFFIC VI,2
asian,female,warning,2013,2,TRAFFIC VI,2
asian,female,warning,2013,4,TRAFFIC VI,2
asian,female,warning,2013,5,TRAFFIC VI,1
asian,female,warning,2013,7,TRAFFIC VI,1
asian,female,warning,2013,8,TRAFFIC VI,2
asian,female,warning,2013,9,CALL FOR S,1
asian,female,warning,2013,9,TRAFFIC VI,1
asian,female,warning,2013,10,TRAFFIC VI,2
asian,female,warning,2013,11,CITIZEN CO,1
asian,female,warning,2013,11,TRAFFIC VI,3
asian,female,warning,2013,12,TRAFFIC VI,5
asian,female,warning,2014,1,TRAFFIC VI,1
asian,female,warning,2014,2,TRAFFIC VI,2
asian,female,warning,2014,3,TRAFFIC VI,1
asian,female,warning,2014,4,TRAFFIC VI,2
asian,female,warning,2014,5,TRAFFIC VI,3
asian,female,warning,2014,6,CALL FOR S,1
asian,female,warning,2014,6,TRAFFIC VI,1
asian,female,warning,2014,7,CALL FOR S,1
asian,female,warning,2014,7,TRAFFIC VI,4
asian,female,warning,2014,8,TRAFFIC VI,6
asian,female,warning,2014,9,TRAFFIC VI,6
asian,female,warning,2014,10,CRIMINAL V,1
asian,female,warning,2014,10,TRAFFIC VI,7
asian,female,warning,2014,11,TRAFFIC VI,4
asian,female,warning,2014,12,TRAFFIC VI,3
asian,female,warning,2015,1,TRAFFIC VI,8
asian,female,warning,2015,2,TRAFFIC VI,6
asian,female,warning,2015,3,TRAFFIC VI,7
asian,female,warning,2015,4,TRAFFIC VI,2
asian,female,warning,2015,5,TRAFFIC VI,3
asian,female,warning,2015,6,TRAFFIC VI,6
asian,female,warning,2015,7,TRAFFIC VI,9
asian,female,warning,2015,8,TRAFFIC VI,12
asian,female,warning,2015,9,TRAFFIC VI,5
asian,female,warning,2015,10,TRAFFIC VI,6
asian,female,warning,2015,11,CALL FOR S,1
asian,female,warning,2015,11,TRAFFIC VI,6
asian,female,warning,2015,12,TRAFFIC VI,2
asian,female,warning,2016,1,TRAFFIC VI,8
asian,female,warning,2016,2,SUSPECT VE,1
asian,female,warning,2016,2,TRAFFIC VI,4
asian,female,warning,2016,3,TRAFFIC VI,8
asian,female,warning,2016,4,OTHER,1
asian,female,warning,2016,4,TRAFFIC VI,1
asian,female,warning,2016,5,TRAFFIC VI,3
asian,female,warning,2016,6,TRAFFIC VI,1
asian,female,warning,2016,7,TRAFFIC VI,3
asian,female,warning,2016,8,TRAFFIC VI,5
asian,female,warning,2016,9,TRAFFIC VI,4
