dbn,csd,BoroughL,Borough,school,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,num_female,perc_female,num_mal,perc_male,num_asian,perc_asian,num_black,perc_black,num_hisp,perc_hisp,num_other,perc_other,num_white,perc_white,num_swd,perc_swd,num_ell,perc_ell,num_poverty,perc_poverty,prop_white,prop_black,prop_hisp,prop_asian,prop_other,h_score,high_school,middle_school,elem_school,pre_sch,csd_total_white,csd_total_black,csd_total_hisp,csd_total_other,csd_total_asian,csd_enr_total,csd_prop_white,csd_prop_black,csd_prop_hisp,csd_prop_asian,csd_prop_other,csd_h_score,total_ever_homeless,total_num_students,perc_ever_homeless,sch_diversity
84K797,84,K,Brooklyn,New Hope Academy Charter School,2017-18,344,0,46,57,75,75,49,42,0,0,0,0,0,0,0,184,53.5,160,46.5,2,0.6,312,90.7,10,2.9,17,4.9,3,0.9,36,10.5,2,0.6,273,79.4,0.00872093,0.906976744,0.029069767,0.005813954,0.049418605,0.411311414,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K803,84,K,Brooklyn,Brooklyn LAB Charter School,2017-18,651,0,0,0,0,0,0,0,178,228,135,110,0,0,0,284,43.6,367,56.4,11,1.7,510,78.3,99,15.2,20,3.1,11,1.7,190,29.2,12,1.8,439,67.4,0.016897081,0.783410138,0.152073733,0.016897081,0.030721966,0.722542397,1,1,0,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K807,84,K,Brooklyn,Collegiate Academy for Math and Personal Awareness,2017-18,69,0,0,0,0,0,0,0,18,51,0,0,0,0,0,31,44.9,38,55.1,0,0,57,82.6,11,15.9,1,1.4,0,0,16,23.2,2,2.9,50,72.5,0,0.826086957,0.15942029,0,0.014492754,0.05,0,1,0,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K876,84,K,Brooklyn,Achievement First Voyager Charter School,2017-18,187,0,0,0,0,0,0,98,89,0,0,0,0,0,0,102,54.5,85,45.5,2,1.1,162,86.6,11,5.9,11,5.9,1,0.5,34,18.2,2,1.1,139,74.3,0.005347594,0.86631016,0.058823529,0.010695187,0.058823529,0.534153554,0,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K879,84,K,Brooklyn,Brooklyn Prospect Charter School Downtown,2017-18,512,0,57,58,58,55,79,0,106,99,0,0,0,0,0,255,49.8,257,50.2,23,4.5,164,32,79,15.4,51,10,195,38.1,61,11.9,4,0.8,155,30.3,0.380859375,0.3203125,0.154296875,0.044921875,0.099609375,1.389811221,0,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,1
84K882,84,K,Brooklyn,Success Academy Charter School - Bushwick,2017-18,243,0,98,89,56,0,0,0,0,0,0,0,0,0,0,127,52.3,116,47.7,1,0.4,67,27.6,169,69.5,3,1.2,3,1.2,41,16.9,37,15.2,177,72.8,0.012345679,0.275720165,0.695473251,0.004115226,0.012345679,0.738909336,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K883,84,K,Brooklyn,Success Academy Charter School - Bed Stuy 3,2017-18,183,0,57,72,54,0,0,0,0,0,0,0,0,0,0,80,43.7,103,56.3,0,0,131,71.6,45,24.6,6,3.3,1,0.5,37,20.2,5,2.7,136,74.3,0.005464481,0.715846995,0.245901639,0,0.032786885,0.724780043,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K886,84,K,Brooklyn,Success Academy Charter School - Flatbush,2017-18,225,0,67,85,73,0,0,0,0,0,0,0,0,0,0,121,53.8,104,46.2,1,0.4,208,92.4,12,5.3,3,1.3,1,0.4,20,8.9,7,3.1,176,78.2,0.004444444,0.924444444,0.053333333,0.004444444,0.013333333,0.334666459,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K892,84,K,Brooklyn,Brooklyn Emerging Leaders Academy,2017-18,64,0,0,0,0,0,0,0,0,0,0,64,0,0,0,64,100,0,0,0,0,53,82.8,10,15.6,0,0,1,1.6,16,25,2,3.1,53,82.8,0.015625,0.828125,0.15625,0,0,0.05,1,0,0,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K895,84,K,Brooklyn,Hebrew Language Academy Charter School 2,2017-18,129,0,65,64,0,0,0,0,0,0,0,0,0,0,0,62,48.1,67,51.9,4,3.1,35,27.1,10,7.8,3,2.3,77,59.7,31,24,22,17.1,102,79.1,0.596899225,0.27131783,0.07751938,0.031007752,0.023255814,1.055339033,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,2
84M065,84,M,Manhattan,Democracy Prep Endurance Charter School,2017-18,584,0,0,0,0,0,0,0,106,114,103,100,98,63,0,286,49,298,51,2,0.3,387,66.3,176,30.1,13,2.2,6,1,118,20.2,32,5.5,441,75.5,0.010273973,0.662671233,0.301369863,0.003424658,0.022260274,0.785317537,1,1,0,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,2
84M068,84,M,Manhattan,KIPP Washington Heights Middle School,2017-18,990,0,96,96,91,92,90,91,87,91,82,87,87,0,0,501,50.6,489,49.4,1,0.1,102,10.3,874,88.3,5,0.5,8,0.8,181,18.3,110,11.1,890,89.9,0.008080808,0.103030303,0.882828283,0.001010101,0.005050505,0.416793633,1,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84M080,84,M,Manhattan,Manhattan Charter School II,2017-18,200,0,32,32,42,34,37,23,0,0,0,0,0,0,0,88,44,112,56,5,2.5,63,31.5,124,62,6,3,2,1,47,23.5,15,7.5,167,83.5,0.01,0.315,0.62,0.025,0.03,0.903735153,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,2
84M085,84,M,Manhattan,Global Community Charter School,2017-18,411,0,76,67,74,71,61,62,0,0,0,0,0,0,0,220,53.5,191,46.5,3,0.7,137,33.3,255,62,5,1.2,11,2.7,76,18.5,74,18,374,91,0.02676399,0.333333333,0.620437956,0.00729927,0.01216545,0.848813494,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,2
84M100,84,M,Manhattan,Neighborhood Charter School of Harlem,2017-18,463,0,59,69,71,69,67,69,59,0,0,0,0,0,0,213,46,250,54,9,1.9,219,47.3,217,46.9,6,1.3,12,2.6,150,32.4,18,3.9,335,72.4,0.025917927,0.47300216,0.468682505,0.019438445,0.012958963,0.936887114,0,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,2
