song,week,total_week,cum_week,Performer
Middle Child,18,0,0,
Middle Child,19,0,0,
Middle Child,20,0,0,
Middle Child,21,0,0,
Middle Child,22,0,0,
Middle Child,23,0,0,
Middle Child,31,0,0,
Middle Child,32,0,0,
Middle Child,33,0,0,
Middle Child,34,0,0,
Old Town Road,30,5,1,
Old Town Road,31,5,2,
Old Town Road,32,5,3,
Old Town Road,33,5,4,
Old Town Road,34,5,5,
Old Town Road,17,0,0,
Old Town Road,18,0,0,
Old Town Road,19,0,0,
Old Town Road,20,0,0,
Old Town Road,21,0,0,
Old Town Road,22,0,0,
Old Town Road,23,0,0,
Old Town Road,24,0,0,
Old Town Road,25,0,0,
Old Town Road,26,0,0,
Old Town Road,27,0,0,
Old Town Road,28,0,0,
Old Town Road,29,0,0,
Pop Out,33,2,1,
Pop Out,34,2,2,
Pop Out,17,0,0,
Pop Out,18,0,0,
Pop Out,19,0,0,
Pop Out,20,0,0,
Pop Out,21,0,0,
Pop Out,22,0,0,
Pop Out,23,0,0,
Pop Out,24,0,0,
Pop Out,25,0,0,
Pop Out,26,0,0,
Pop Out,27,0,0,
Pop Out,28,0,0,
Pop Out,29,0,0,
Pop Out,30,0,0,
Pop Out,31,0,0,
Pop Out,32,0,0,
Pure Water,25,5,1,
Pure Water,26,5,2,
Pure Water,27,5,3,
Pure Water,28,5,4,
Pure Water,29,5,5,
Pure Water,17,0,0,
Pure Water,18,0,0,
Pure Water,19,0,0,
Pure Water,20,0,0,
Pure Water,21,0,0,
Pure Water,22,0,0,
Pure Water,23,0,0,
Pure Water,24,0,0,
Pure Water,30,0,0,
Pure Water,31,0,0,
Pure Water,32,0,0,
Pure Water,33,0,0,
Pure Water,34,0,0,
Shallow,17,16,1,
Shallow,18,16,2,
Shallow,19,16,3,
Shallow,20,16,4,
Shallow,21,16,5,
Shallow,22,16,6,
Shallow,23,16,7,
Shallow,24,16,8,
Shallow,25,16,9,
Shallow,26,16,10,
Shallow,27,16,11,
Shallow,28,16,12,
Shallow,29,16,13,
Shallow,30,16,14,
Shallow,31,16,15,
Shallow,32,16,16,
Shallow,33,0,0,
Shallow,34,0,0,
Sicko Mode,17,15,1,
Sicko Mode,18,15,2,
Sicko Mode,19,15,3,
Sicko Mode,20,15,4,
Sicko Mode,21,15,5,
Sicko Mode,22,15,6,
Sicko Mode,23,15,7,
Sicko Mode,24,15,8,
Sicko Mode,25,15,9,
Sicko Mode,26,15,10,
Sicko Mode,27,15,11,
Sicko Mode,28,15,12,
Sicko Mode,29,15,13,
Sicko Mode,30,15,14,
Sicko Mode,31,15,15,
Sicko Mode,31,0,0,
Sicko Mode,32,0,0,
Sicko Mode,33,0,0,
Sicko Mode,34,0,0,
Speechless,22,13,1,
Speechless,23,13,2,
Speechless,24,13,3,
Speechless,25,13,4,
Speechless,26,13,5,
Speechless,27,13,6,
Speechless,28,13,7,
Speechless,29,13,8,
Speechless,30,13,9,
Speechless,31,13,10,
Speechless,32,13,11,
Speechless,33,13,12,
Speechless,34,13,13,
Speechless,17,0,0,
Speechless,18,0,0,
Speechless,19,0,0,
Speechless,20,0,0,
Speechless,21,0,0,
Sucker,30,5,1,
Sucker,31,5,2,
Sucker,32,5,3,
Sucker,33,5,4,
Sucker,34,5,5,
Sucker,17,0,0,
Sucker,18,0,0,
Sucker,19,0,0,
Sucker,20,0,0,
